TribeIndigenousLands,Minnesota Chippewa,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",Minnesota Chippewa Trust Land,,
TribeIndigenousLands,Blackfeet,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet Indian Reservation,,
TribeIndigenousLands,Kalispel,Kalispel Indian Community of the Kalispel Reservation,Kalispel Reservation,,
TribeIndigenousLands,Winnebago,Winnebago Tribe of Nebraska,Winnebago Reservation,,
TribeIndigenousLands,San Pasqual,San Pasqual Band of Diegueno Mission Indians of California,San Pasqual Reservation,,
TribeIndigenousLands,Karuk,Karuk Tribe,Karuk Reservation,,
TribeIndigenousLands,Hopi,Hopi Tribe of Arizona,Hopi Reservation,,
TribeIndigenousLands,Alabama-Coushatta,Alabama-Coushatta Tribe of Texas,Alabama-Coushatta Reservation,,
TribeIndigenousLands,Tonto Apache,Tonto Apache Tribe of Arizona,Tonto Apache Reservation,,
TribeIndigenousLands,Mi'kmaq Nation,Mi'kmaq Nation,Aroostook Band of Micmac Trust Land,,
TribeIndigenousLands,Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",Navajo Nation Reservation,,
TribeIndigenousLands,Dry Creek,"Dry Creek Rancheria Band of Pomo Indians, California",Dry Creek Rancheria,,
TribeIndigenousLands,Grand Ronde,Confederated Tribes of the Grand Ronde Community of Oregon,Grand Ronde Community,,
TribeIndigenousLands,Timbi-Sha Shoshone,Timbisha Shoshone Tribe,Timbi-Sha Shoshone Reservation,,
TribeIndigenousLands,Mille Lacs,"Minnesota Chippewa Tribe, Minnesota (Mille Lacs Band)",Mille Lacs Reservation,,
TribeIndigenousLands,Pit River,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Pit River Trust Land,,
TribeIndigenousLands,Fort Mojave,"Fort Mojave Indian Tribe of Arizona, California & Nevada",Fort Mojave Reservation,,
TribeIndigenousLands,Round Valley,"Round Valley Indian Tribes, Round Valley Reservation, California",Round Valley Reservation,,
TribeIndigenousLands,Hannahville,"Hannahville Indian Community, Michigan",Hannahville Indian Community,,
TribeIndigenousLands,Oneida (WI),Oneida Nation,Oneida (WI) Reservation,,
TribeIndigenousLands,Hualapai,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",Hualapai Indian Reservation,,
TribeIndigenousLands,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community of Minnesota,Shakopee Mdewakanton Sioux Community,,
TribeIndigenousLands,Isabella,Saginaw Chippewa Indian Tribe of Michigan,Isabella Reservation,,
TribeIndigenousLands,Picayune,Picayune Rancheria of Chukchansi Indians of California,Picayune Rancheria,,
TribeIndigenousLands,Pokagon,"Pokagon Band of Potawatomi Indians, Michigan and Indiana",Pokagon Reservation,,
TribeIndigenousLands,Turtle Mountain,Turtle Mountain Band of Chippewa Indians of North Dakota,Turtle Mountain Reservation,,
TribeIndigenousLands,Wampanoag-Aquinnah,Wampanoag Tribe of Gay Head (Aquinnah),Wampanoag-Aquinnah Trust Land,,
TribeIndigenousLands,Auburn,United Auburn Indian Community of the Auburn Rancheria of California,Auburn Rancheria,,
TribeIndigenousLands,Upper Sioux,"Upper Sioux Community, Minnesota",Upper Sioux Community,,
TribeIndigenousLands,Spokane,Spokane Tribe of the Spokane Reservation,Spokane Reservation,,
TribeIndigenousLands,Jicarilla Apache Nation,"Jicarilla Apache Nation, New Mexico",Jicarilla Apache Nation Reservation,,
TribeIndigenousLands,Kickapoo (TX),Kickapoo Traditional Tribe of Texas,Kickapoo (TX) Reservation,,
TribeIndigenousLands,Cedarville,"Cedarville Rancheria, California",Cedarville Rancheria,,
TribeIndigenousLands,Stillaguamish,Stillaguamish Tribe of Indians of Washington,Stillaguamish Reservation,,
TribeIndigenousLands,Northern Cheyenne,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne Indian Reservation,,
TribeIndigenousLands,Puyallup,Puyallup Tribe of the Puyallup Reservation,Puyallup Reservation,,
TribeIndigenousLands,Houlton Maliseet,Houlton Band of Maliseet Indians,Houlton Maliseet Reservation,,
TribeIndigenousLands,Catawba,Catawba Indian Nation,Catawba Reservation,,
TribeIndigenousLands,Rohnerville,"Bear River Band of the Rohnerville Rancheria, California",Rohnerville (Rancheria) Trust Land,,
TribeIndigenousLands,Umatilla,Confederated Tribes of the Umatilla Indian Reservation,Umatilla Reservation,,
TribeIndigenousLands,Table Mountain,Table Mountain Rancheria,Table Mountain Rancheria,,
TribeIndigenousLands,Reno-Sparks,"Reno-Sparks Indian Colony, Nevada",Reno-Sparks Indian Colony,,
TribeIndigenousLands,Maricopa (Ak Chin),Ak-Chin Indian Community,Maricopa (Ak Chin) Indian Reservation,,
TribeIndigenousLands,Zia,"Pueblo of Zia, New Mexico",Zia Pueblo,,
TribeIndigenousLands,Benton Paiute,"Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California",Benton Paiute Reservation,,
TribeIndigenousLands,Pechanga,Pechanga Band of Indians,Pechanga Reservation,,
TribeIndigenousLands,Nooksack,Nooksack Indian Tribe,Nooksack Reservation,,
TribeIndigenousLands,Prairie Island,Prairie Island Indian Community in the State of Minnesota,Prairie Island Indian Community,,
TribeIndigenousLands,Robinson,Robinson Rancheria,Robinson Rancheria,,
TribeIndigenousLands,Sherwood Valley,Sherwood Valley Rancheria of Pomo Indians of California,Sherwood Valley Rancheria,,
TribeIndigenousLands,Uintah and Ouray,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",Uintah and Ouray Reservation,,
TribeIndigenousLands,Mississippi Choctaw,Mississippi Band of Choctaw Indians,Mississippi Choctaw Reservation,,
TribeIndigenousLands,Tulalip,Tulalip Tribes of Washington,Tulalip Reservation,,
TribeIndigenousLands,Fort Peck,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",Fort Peck Indian Reservation,,
TribeIndigenousLands,Washoe Ranches,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",Washoe Ranches Trust Land,,
TribeIndigenousLands,Swinomish,Swinomish Indian Tribal Community,Swinomish Reservation,,
TribeIndigenousLands,Tohono O'odham Nation,Tohono O'odham Nation of Arizona,Tohono O'odham Nation Reservation,,
TribeIndigenousLands,Passamaquoddy,Passamaquoddy Tribe,Passamaquoddy Trust Land,,
TribeIndigenousLands,Yakama Nation,Confederated Tribes and Bands of the Yakama Nation,Yakama Nation Reservation,,
TribeIndigenousLands,Taos,"Pueblo of Taos, New Mexico",Taos Pueblo,,
TribeIndigenousLands,Match-e-be-nash-she-wish Band of Pottawatomi,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,,
TribeIndigenousLands,Susanville,"Susanville Indian Rancheria, California",Susanville Indian Rancheria,,
TribeIndigenousLands,Rosebud,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",Rosebud Indian Reservation,,
TribeIndigenousLands,Mashpee Wampanoag,Mashpee Wampanoag Tribe,Mashpee Wampanoag Trust Land,,
TribeIndigenousLands,Colville,Confederated Tribes of the Colville Reservation,Colville Reservation,,
TribeIndigenousLands,Shoalwater Bay,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,Shoalwater Bay Indian Reservation,,
TribeIndigenousLands,Quartz Valley,Quartz Valley Indian Community of the Quartz Valley Reservation of California,Quartz Valley Reservation,,
TribeIndigenousLands,Nambe,"Pueblo of Nambe, New Mexico",Nambe Pueblo,,
TribeIndigenousLands,Rincon,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",Rincon Reservation,,
TribeIndigenousLands,Mashantucket Pequot,Mashantucket Pequot Indian Tribe,Mashantucket Pequot Reservation,,
TribeIndigenousLands,Elk Valley,"Elk Valley Rancheria, California",Elk Valley Rancheria,,
TribeIndigenousLands,Bois Forte,"Minnesota Chippewa Tribe, Minnesota (Bois Forte Band (Nett Lake))",Bois Forte Reservation,,
TribeIndigenousLands,Summit Lake,Summit Lake Paiute Tribe of Nevada,Summit Lake Reservation,,
TribeIndigenousLands,Smith River,Tolowa Dee-ni' Nation,Smith River Rancheria,,
TribeIndigenousLands,Iowa (KS-NE),Iowa Tribe of Kansas and Nebraska,Iowa (KS-NE) Reservation,,
TribeIndigenousLands,Battle Mountain,Te-Moak Tribe of Western Shoshone Indians of Nevada (Battle Mountain Band),Battle Mountain Reservation,,
TribeIndigenousLands,Sokaogon Chippewa,"Sokaogon Chippewa Community, Wisconsin",Sokaogon Chippewa Community,,
TribeIndigenousLands,Fallon Paiute-Shoshone (Reservation),"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Reservation,,
TribeIndigenousLands,St. Croix,St. Croix Chippewa Indians of Wisconsin,St. Croix Reservation,,
TribeIndigenousLands,Forest County Potawatomi,"Forest County Potawatomi Community, Wisconsin",Forest County Potawatomi Community,,
TribeIndigenousLands,Jamestown S'Klallam,Jamestown S'Klallam Tribe,Jamestown S'Klallam Reservation,,
TribeIndigenousLands,Lake Traverse,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",Lake Traverse Reservation,,
TribeIndigenousLands,Grand Portage,"Minnesota Chippewa Tribe, Minnesota (Grand Portage Band)",Grand Portage Reservation,,
TribeIndigenousLands,Lower Sioux,Lower Sioux Indian Community in the State of Minnesota,Lower Sioux Indian Community,,
TribeIndigenousLands,Grand Traverse,"Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",Grand Traverse Reservation,,
TribeIndigenousLands,Muckleshoot,Muckleshoot Indian Tribe,Muckleshoot Reservation,,
TribeIndigenousLands,Squaxin Island,Squaxin Island Tribe of the Squaxin Island Reservation,Squaxin Island Reservation,,
TribeIndigenousLands,Burns Paiute,Burns Paiute Tribe,Burns Paiute Indian Colony,,
TribeIndigenousLands,Pascua Pueblo Yaqui,Pascua Yaqui Tribe of Arizona,Pascua Pueblo Yaqui Reservation,,
TribeIndigenousLands,Ysleta del Sur,Ysleta del Sur Pueblo,Ysleta del Sur Pueblo,,
TribeIndigenousLands,Sault Ste. Marie,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",Sault Ste. Marie Reservation,,
TribeIndigenousLands,Tunica-Biloxi,Tunica-Biloxi Indian Tribe,Tunica-Biloxi Reservation,,
TribeIndigenousLands,Coquille,Coquille Indian Tribe,Coquille Reservation,,
TribeIndigenousLands,Rocky Boy's,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Rocky Boy's Reservation,,
TribeIndigenousLands,Trinidad,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",Trinidad Rancheria,,
TribeIndigenousLands,South Fork,Te-Moak Tribe of Western Shoshone Indians of Nevada (South Fork Band),South Fork Reservation,,
TribeIndigenousLands,Red Cliff,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,Red Cliff Reservation,,
TribeIndigenousLands,Bridgeport,Bridgeport Indian Colony,Bridgeport Reservation,,
TribeIndigenousLands,Fort Belknap,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,Fort Belknap Reservation,,
TribeIndigenousLands,Sac and Fox/Meskwaki,Sac & Fox Tribe of the Mississippi in Iowa,Sac and Fox/Meskwaki Settlement,,
TribeIndigenousLands,Penobscot,Penobscot Nation,Penobscot Reservation,,
TribeIndigenousLands,Barona,"Capitan Grande Band of Diegueno Mission Indians of California: Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California",Barona Reservation,,
TribeIndigenousLands,Sandia,"Pueblo of Sandia, New Mexico",Sandia Pueblo,,
TribeIndigenousLands,Eastern Cherokee,Eastern Band of Cherokee Indians,Eastern Cherokee Reservation,,
TribeIndigenousLands,Shawnee,Shawnee Tribe,Shawnee Trust Land,,
TribeIndigenousLands,Shoshone-Bannock,Shoshone-Bannock Tribes of the Fort Hall Reservation,Fort Hall Reservation,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Fort Sill Apache,Kiowa Indian Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Fort Sill Apache,"Comanche Nation, Oklahoma",Kiowa-Comanche-Apache-Fort Sill Apache OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Fort Sill Apache,Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Fort Sill Apache,Fort Sill Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Fort Sill Apache OTSA,,
TribeIndigenousLands,Chickasaw,The Chickasaw Nation,Chickasaw OTSA,,
TribeIndigenousLands,Pawnee,Pawnee Nation of Oklahoma,Pawnee OTSA,,
TribeIndigenousLands,Seneca-Cayuga,Seneca-Cayuga Nation,Seneca-Cayuga OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa Indian Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,"Comanche Nation, Oklahoma",Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Fort Sill Apache Tribe of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Caddo Nation of Oklahoma,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,"Delaware Nation, Oklahoma",Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,,
TribeIndigenousLands,Miami/Peoria,Miami Tribe of Oklahoma,Miami/Peoria joint-use OTSA,,
TribeIndigenousLands,Miami/Peoria,Peoria Tribe of Indians of Oklahoma,Miami/Peoria joint-use OTSA,,
TribeIndigenousLands,Kickapoo,Kickapoo Tribe of Oklahoma,Kickapoo OTSA,,
TribeIndigenousLands,Creek,The Muscogee (Creek) Nation,Creek OTSA,,
TribeIndigenousLands,Kaw,"Kaw Nation, Oklahoma",Kaw OTSA,,
TribeIndigenousLands,Tonkawa,Tonkawa Tribe of Indians of Oklahoma,Tonkawa OTSA,,
TribeIndigenousLands,Citizen Potawatomi Nation-Absentee Shawnee,"Citizen Potawatomi Nation, Oklahoma",Citizen Potawatomi Nation-Absentee Shawnee OTSA,,
TribeIndigenousLands,Citizen Potawatomi Nation-Absentee Shawnee,Absentee-Shawnee Tribe of Indians of Oklahoma,Citizen Potawatomi Nation-Absentee Shawnee OTSA,,
TribeIndigenousLands,Ottawa,Ottawa Tribe of Oklahoma,Ottawa OTSA,,
TribeIndigenousLands,Ponca,Ponca Tribe of Indians of Oklahoma,Ponca OTSA,,
TribeIndigenousLands,Cherokee,Cherokee Nation,Cherokee OTSA,,
TribeIndigenousLands,Cheyenne-Arapaho,"Cheyenne and Arapaho Tribes, Oklahoma",Cheyenne and Arapaho OTSA,,
TribeIndigenousLands,Eastern Shawnee,Eastern Shawnee Tribe of Oklahoma,Eastern Shawnee OTSA,,
TribeIndigenousLands,Seminole,The Seminole Nation of Oklahoma,Seminole OTSA,,
TribeIndigenousLands,Peoria,Peoria Tribe of Indians of Oklahoma,Peoria OTSA,,
TribeIndigenousLands,Miami,Miami Tribe of Oklahoma,Miami OTSA,,
TribeIndigenousLands,Choctaw,The Choctaw Nation of Oklahoma,Choctaw OTSA,,
TribeIndigenousLands,Kaw/Ponca,"Kaw Nation, Oklahoma",Kaw/Ponca joint-use OTSA,,
TribeIndigenousLands,Kaw/Ponca,Ponca Tribe of Indians of Oklahoma,Kaw/Ponca joint-use OTSA,,
TribeIndigenousLands,Sac and Fox,"Sac & Fox Nation, Oklahoma",Sac and Fox OTSA,,
TribeIndigenousLands,Iowa,Iowa Tribe of Oklahoma,Iowa OTSA,,
TribeIndigenousLands,Creek/Seminole,The Muscogee (Creek) Nation,Creek/Seminole joint-use OTSA,,
TribeIndigenousLands,Creek/Seminole,The Seminole Nation of Oklahoma,Creek/Seminole joint-use OTSA,,
TribeIndigenousLands,Modoc,Modoc Nation,Modoc OTSA,,
TribeIndigenousLands,Otoe-Missouria,"Otoe-Missouria Tribe of Indians, Oklahoma",Otoe-Missouria OTSA,,
TribeIndigenousLands,Wyandotte,Wyandotte Nation,Wyandotte OTSA,,
TribeIndigenousLands,Quapaw,Quapaw Nation,Quapaw OTSA,,
TribeIndigenousLands,Caddo-Wichita-Delaware,Caddo Nation of Oklahoma,Caddo-Wichita-Delaware OTSA,,
TribeIndigenousLands,Caddo-Wichita-Delaware,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",Caddo-Wichita-Delaware OTSA,,
TribeIndigenousLands,Caddo-Wichita-Delaware,"Delaware Nation, Oklahoma",Caddo-Wichita-Delaware OTSA,,
TribeIndigenousLands,,Monacan Indian Nation,Monacan Indian Nation,,
TribeIndigenousLands,,Chickahominy Tribe,Chickahominy Indian Tribe,,
TribeIndigenousLands,,Chickahominy Indians Eastern Division,Chickahominy Indian Tribe--Eastern Division,,
TribeIndigenousLands,,Nansemond Indian Nation,Nansemond Indian Nation,,
TribeIndigenousLands,,Upper Mattaponi Tribe,Upper Mattaponi Tribe,,
TribeIndigenousLands,,Rappahannock Tribe,"Rappahannock Tribe, Inc.",,
